name,bs_timestamp,rs_timestamp,seq_number,stored,accelx,accely,accelz,breathing_signal,breathing_rate,activity
RESpeckT5,20140625153642.969,780256230,7,0,0.845703,0.023682,-0.283691,nan,nan,4.860719
RESpeckT5,20140625153643.159,780256230,8,0,1.045898,-0.137451,-0.372559,nan,nan,4.860719
RESpeckT5,20140625153643.159,780256230,9,0,1.271484,0.009766,-0.077393,nan,nan,4.860719
RESpeckT5,20140625153643.159,780256230,10,0,1.006348,-0.056641,-0.130859,nan,nan,4.860719
RESpeckT5,20140625153643.197,780256230,11,0,0.858398,0.040771,-0.133301,nan,nan,4.860719
RESpeckT5,20140625153643.197,780256230,12,0,0.915771,-0.028809,-0.176514,nan,nan,4.860719
RESpeckT5,20140625153643.197,780256230,13,0,0.989746,-0.053711,-0.180176,nan,nan,4.860719
RESpeckT5,20140625153643.223,780256230,14,0,0.861572,-0.040039,-0.211670,nan,nan,4.860719
RESpeckT5,20140625153643.223,780256230,15,0,0.883301,-0.063965,-0.253418,nan,nan,4.860719
RESpeckT5,20140625153643.223,780256230,16,0,0.844727,-0.093750,-0.290771,nan,nan,4.860719
RESpeckT5,20140625153643.249,780256230,17,0,0.987793,-0.019287,-0.265625,nan,nan,4.860719
RESpeckT5,20140625153643.249,780256230,18,0,1.093506,0.128662,-0.247070,nan,nan,4.860719
RESpeckT5,20140625153643.249,780256230,19,0,0.999268,0.003662,-0.225830,nan,nan,4.860719
RESpeckT5,20140625153643.275,780256230,20,0,1.101562,0.062012,-0.289062,nan,nan,4.860719
RESpeckT5,20140625153643.275,780256230,21,0,0.850830,0.070801,-0.154541,nan,nan,4.860719
RESpeckT5,20140625153643.275,780256230,22,0,0.883545,0.074707,-0.276123,nan,nan,4.860719
RESpeckT5,20140625153643.300,780256230,23,0,0.902832,0.012207,-0.258301,nan,nan,4.860719
RESpeckT5,20140625153643.300,780256230,24,0,0.863770,0.063721,-0.282471,nan,nan,4.860719
RESpeckT5,20140625153643.300,780256230,25,0,0.885254,0.043945,-0.359131,nan,nan,4.860719
RESpeckT5,20140625153643.406,780256230,26,0,1.037842,-0.101074,-0.307617,nan,nan,4.860719
RESpeckT5,20140625153643.406,780256230,27,0,1.003174,-0.021240,-0.183594,nan,nan,4.860719
RESpeckT5,20140625153643.406,780256230,28,0,1.111816,-0.047852,-0.128174,nan,nan,4.860719
RESpeckT5,20140625153643.441,780256230,29,0,0.889893,-0.018555,-0.121582,nan,nan,4.860719
RESpeckT5,20140625153643.441,780256230,30,0,0.967773,-0.010986,-0.132812,nan,nan,4.860719
RESpeckT5,20140625153643.441,780256230,31,0,0.941406,-0.076904,-0.189209,nan,nan,4.860719
RESpeckT5,20140625153644.646,780256650,0,0,0.974854,-0.019043,-0.142334,nan,nan,4.860719
RESpeckT5,20140625153644.646,780256650,1,0,0.947021,-0.063965,-0.178223,nan,nan,1.277591
RESpeckT5,20140625153644.891,780256650,2,0,0.946533,-0.054443,-0.172363,nan,nan,1.277591
RESpeckT5,20140625153644.891,780256650,3,0,0.951172,-0.018555,-0.143066,nan,nan,1.277591
RESpeckT5,20140625153644.891,780256650,4,0,0.977295,0.015137,-0.141357,nan,nan,1.277591
RESpeckT5,20140625153644.928,780256650,5,0,0.950928,-0.054688,-0.123291,nan,nan,1.277591
RESpeckT5,20140625153644.928,780256650,6,0,0.991943,-0.027588,-0.056152,nan,nan,1.277591
RESpeckT5,20140625153644.928,780256650,7,0,1.036377,-0.116455,-0.163574,nan,nan,1.277591
RESpeckT5,20140625153644.954,780256650,8,0,0.971191,0.076416,-0.208740,nan,nan,1.277591
RESpeckT5,20140625153644.954,780256650,9,0,0.989746,-0.038574,-0.321045,nan,nan,1.277591
RESpeckT5,20140625153644.954,780256650,10,0,0.888672,0.172607,-0.281494,nan,nan,1.277591
RESpeckT5,20140625153644.980,780256650,11,0,0.959961,0.102783,-0.231201,nan,nan,1.277591
RESpeckT5,20140625153644.980,780256650,12,0,0.890137,0.135742,-0.256348,nan,nan,1.277591
RESpeckT5,20140625153644.980,780256650,13,0,0.915771,0.092529,-0.320801,nan,nan,1.277591
RESpeckT5,20140625153645.006,780256650,14,0,1.002197,-0.038330,-0.348389,nan,nan,1.277591
RESpeckT5,20140625153645.006,780256650,15,0,0.973145,-0.080322,-0.268066,nan,nan,1.277591
RESpeckT5,20140625153645.006,780256650,16,0,1.040039,-0.077881,-0.257080,nan,nan,1.277591
RESpeckT5,20140625153645.031,780256650,17,0,0.955322,0.177002,-0.287842,nan,nan,1.277591
RESpeckT5,20140625153645.031,780256650,18,0,0.828125,-0.155029,-0.426025,nan,nan,1.277591
RESpeckT5,20140625153645.031,780256650,19,0,0.970459,-0.036621,-0.382080,nan,nan,1.277591
RESpeckT5,20140625153645.138,780256650,20,0,0.840820,-0.234131,-0.307617,nan,nan,1.277591
RESpeckT5,20140625153645.138,780256650,21,0,0.954590,-0.071045,-0.222656,nan,nan,1.277591
RESpeckT5,20140625153645.138,780256650,22,0,0.658447,0.136719,-0.398193,nan,nan,1.277591
RESpeckT5,20140625153645.166,780256650,23,0,1.166992,-0.201904,-0.241943,nan,nan,1.277591
RESpeckT5,20140625153645.166,780256650,24,0,1.048340,0.241699,-0.444336,nan,nan,1.277591
RESpeckT5,20140625153645.166,780256650,25,0,1.117188,-0.014160,-0.291260,nan,nan,1.277591
RESpeckT5,20140625153645.205,780256650,26,0,0.857666,-0.059570,-0.147705,nan,nan,1.277591
RESpeckT5,20140625153645.205,780256650,27,0,0.515381,0.014893,-0.354980,nan,nan,1.277591
RESpeckT5,20140625153645.205,780256650,28,0,1.108643,-0.188965,-0.105713,nan,nan,1.277591
RESpeckT5,20140625153645.232,780256650,29,0,1.111084,-0.040039,-0.306152,nan,nan,1.277591
RESpeckT5,20140625153645.232,780256650,30,0,1.109375,0.098633,-0.326660,nan,nan,1.277591
RESpeckT5,20140625153645.232,780256650,31,0,0.845459,-0.148193,-0.133057,nan,nan,1.277591
RESpeckT5,20140625153647.369,780257069,0,0,0.482178,-0.070068,-0.324463,nan,nan,1.277591
RESpeckT5,20140625153647.369,780257069,1,0,1.035400,-0.325684,-0.205811,nan,nan,12.417292
RESpeckT5,20140625153647.613,780257069,2,0,1.258301,0.083740,-0.263916,nan,nan,12.417292
RESpeckT5,20140625153647.613,780257069,3,0,1.148438,-0.000488,-0.233643,nan,nan,12.417292
RESpeckT5,20140625153647.613,780257069,4,0,0.821045,-0.190430,-0.291992,nan,nan,12.417292
