(6, 30099, 29950, 28408, array([-7952.,  -432.,  2240.]), array([ 7307.,   398., -2554.]), array([ 265.,  305., -213.]))
(6, 31048, 30958, 30953, array([-7888.,  -560.,  2240.]), array([ 7308.,   381., -2535.]), array([ 264.,  304., -215.]))
(6, 31997, 31966, 30953, array([-7856.,  -592.,  2240.]), array([ 7342.,   389., -2536.]), array([ 264.,  304., -215.]))
(6, 33422, 32974, 33499, array([-7904.,  -512.,  2256.]), array([ 7350.,   388., -2570.]), array([ 259.,  298., -220.]))
(6, 34371, 33982, 33499, array([-7952.,  -384.,  2144.]), array([ 7326.,   384., -2586.]), array([ 259.,  298., -220.]))
(6, 35795, 34990, 33499, array([-7856.,  -352.,  2192.]), array([ 7351.,   395., -2612.]), array([ 259.,  298., -220.]))
(6, 36744, 35998, 36044, array([-7856.,  -496.,  2240.]), array([ 7400.,   372., -2602.]), array([ 256.,  294., -226.]))
(6, 37693, 38014, 36044, array([-7808.,  -592.,  2224.]), array([ 7384.,   387., -2553.]), array([ 256.,  294., -226.]))
(6, 39116, 39022, 38589, array([-7920.,  -640.,  2208.]), array([ 7353.,   393., -2558.]), array([ 255.,  288., -233.]))
(6, 40065, 40030, 38589, array([-7872.,  -576.,  2240.]), array([ 7427.,   398., -2597.]), array([ 255.,  288., -233.]))
(6, 41014, 41038, 41134, array([-7856.,  -480.,  2192.]), array([ 7406.,   409., -2629.]), array([ 249.,  285., -240.]))
(6, 42438, 42046, 41134, array([-7824.,  -528.,  2208.]), array([ 7435.,   403., -2615.]), array([ 249.,  285., -240.]))
(6, 43387, 43054, 43680, array([-7920.,  -624.,  2256.]), array([ 7439.,   382., -2571.]), array([ 250.,  279., -242.]))
(6, 44811, 44062, 43680, array([-7888.,  -560.,  2304.]), array([ 7411.,   378., -2578.]), array([ 250.,  279., -242.]))
(6, 45760, 45070, 43680, array([-7840.,  -480.,  2256.]), array([ 7431.,   376., -2616.]), array([ 250.,  279., -242.]))
