(6, 53701, 54004, 53430, array([-7984.,  -448.,  3120.]), array([ 8683.,   628., -5131.]), array([ 165.,  142., -358.]))
(6, 55124, 55012, 53430, array([-7936.,  -592.,  3056.]), array([ 8693.,   600., -5095.]), array([ 165.,  142., -358.]))
(6, 56074, 56020, 55974, array([-7872.,  -512.,  3072.]), array([ 8731.,   593., -5119.]), array([ 165.,  131., -352.]))
(6, 57023, 57028, 55974, array([-7776.,  -576.,  3072.]), array([ 8671.,   590., -5132.]), array([ 165.,  131., -352.]))
(6, 58447, 58036, 58519, array([-7792.,  -640.,  2832.]), array([ 8686.,   569., -5150.]), array([ 163.,  124., -360.]))
(6, 59396, 59044, 58519, array([-7904.,  -592.,  3008.]), array([ 8745.,   542., -5070.]), array([ 163.,  124., -360.]))
(6, 60819, 60052, 58519, array([-7808.,  -688.,  2976.]), array([ 8748.,   529., -5090.]), array([ 163.,  124., -360.]))
(6, 61768, 61060, 61065, array([-7712.,  -624.,  2832.]), array([ 8683.,   553., -5150.]), array([ 166.,  113., -355.]))
(6, 62717, 63076, 61065, array([-7616.,  -528.,  2752.]), array([ 8606.,   567., -5195.]), array([ 166.,  113., -355.]))
(6, 64141, 64084, 63610, array([-7680.,  -640.,  2944.]), array([ 8640.,   582., -5134.]), array([ 161.,  103., -358.]))
(6, 65090, 65092, 63610, array([-7664.,  -624.,  3056.]), array([ 8677.,   629., -5125.]), array([ 161.,  103., -358.]))
(6, 503, 564, 618, array([-7712.,  -576.,  2928.]), array([ 8601.,   623., -5193.]), array([ 164.,   97., -363.]))
(6, 1927, 1572, 618, array([-7712.,  -512.,  2960.]), array([ 8549.,   657., -5219.]), array([ 164.,   97., -363.]))
(6, 2876, 2580, 3163, array([-7824.,  -544.,  3120.]), array([ 8641.,   651., -5160.]), array([ 162.,   86., -358.]))
(6, 4300, 3588, 3163, array([-7904.,  -496.,  3136.]), array([ 8654.,   681., -5110.]), array([ 162.,   86., -358.]))
(6, 5250, 4596, 3163, array([-7840.,  -528.,  3168.]), array([ 8628.,   679., -5125.]), array([ 162.,   86., -358.]))
(6, 6199, 5604, 5708, array([-7856.,  -480.,  3136.]), array([ 8605.,   648., -5203.]), array([ 162.,   78., -359.]))
(6, 7627, 7620, 5708, array([-7856.,  -416.,  3248.]), array([ 8644.,   668., -5097.]), array([ 162.,   78., -359.]))
(6, 8576, 8628, 8254, array([-7968.,  -480.,  3296.]), array([ 8637.,   642., -5073.]), array([ 161.,   68., -359.]))
(6, 9525, 9636, 8254, array([-7824.,  -400.,  3264.]), array([ 8564.,   636., -5121.]), array([ 161.,   68., -359.]))
(6, 10949, 10644, 10799, array([-7824.,  -416.,  3200.]), array([ 8577.,   605., -5133.]), array([ 161.,   58., -356.]))
(6, 11898, 11652, 10799, array([-7840.,  -544.,  3184.]), array([ 8566.,   571., -5078.]), array([ 161.,   58., -356.]))
(6, 13322, 12660, 10799, array([-7808.,  -592.,  3232.]), array([ 8639.,   574., -5012.]), array([ 161.,   58., -356.]))
(6, 14271, 13668, 13344, array([-7840.,  -656.,  3120.]), array([ 8641.,   530., -5040.]), array([ 160.,   49., -355.]))
(6, 15220, 14676, 13344, array([-7648.,  -640.,  3056.]), array([ 8533.,   545., -5133.]), array([ 160.,   49., -355.]))
(6, 16649, 16692, 15890, array([-7600.,  -592.,  3152.]), array([ 8567.,   552., -5096.]), array([ 160.,   40., -355.]))
