(1, 39313, 39563, 37274, array([ 5200.,  1184., -5424.]), array([-1641.,  -242.,  2836.]), array([-327.,  -51.,  455.]))
(1, 40738, 40571, 39820, array([ 5136.,  1264., -5472.]), array([-1440.,  -234.,  2685.]), array([-334.,  -50.,  452.]))
(1, 41687, 41579, 39820, array([ 5152.,  1248., -5504.]), array([-1228.,  -254.,  2554.]), array([-334.,  -50.,  452.]))
(1, 43109, 42587, 42365, array([ 5136.,  1200., -5520.]), array([ -966.,  -244.,  2441.]), array([-334.,  -52.,  452.]))
(1, 44059, 43596, 42365, array([ 5120.,  1120., -5472.]), array([ -733.,  -199.,  2308.]), array([-334.,  -52.,  452.]))
(1, 45008, 44604, 44909, array([ 5088.,  1088., -5504.]), array([ -526.,  -170.,  2198.]), array([-330.,  -49.,  453.]))
(1, 46431, 45612, 44909, array([ 5008.,   848., -5440.]), array([ -256.,  -160.,  2113.]), array([-330.,  -49.,  453.]))
(1, 47381, 47628, 47455, array([ 5072.,   784., -5408.]), array([   75.,  -186.,  1988.]), array([-336.,  -43.,  449.]))
(1, 48330, 48637, 47455, array([ 5008.,   752., -5440.]), array([  158.,  -148.,  1961.]), array([-336.,  -43.,  449.]))
(1, 49754, 49645, 47455, array([ 5040.,   640., -5456.]), array([  181.,  -118.,  1928.]), array([-336.,  -43.,  449.]))
(1, 50703, 50653, 50001, array([ 5008.,   608., -5408.]), array([  183.,  -131.,  1847.]), array([-336.,  -44.,  453.]))
(1, 52127, 51661, 50001, array([ 4944.,   512., -5456.]), array([   73.,  -113.,  1777.]), array([-336.,  -44.,  453.]))
(1, 53076, 52669, 52547, array([ 4896.,   496., -5440.]), array([  -10.,  -102.,  1694.]), array([-334.,  -40.,  457.]))
(1, 54025, 53678, 52547, array([ 4896.,   560., -5472.]), array([ -122.,  -104.,  1645.]), array([-334.,  -40.,  457.]))
(1, 55449, 54686, 55093, array([ 4928.,   592., -5472.]), array([ -198.,  -127.,  1546.]), array([-340.,  -40.,  454.]))
(1, 56398, 55694, 55093, array([ 4864.,   528., -5584.]), array([ -239.,  -140.,  1465.]), array([-340.,  -40.,  454.]))
(1, 57347, 57710, 57640, array([ 4784.,   528., -5680.]), array([ -230.,  -166.,  1281.]), array([-333.,  -39.,  455.]))
(1, 58771, 58719, 57640, array([ 4880.,   480., -5616.]), array([ -162.,  -160.,  1205.]), array([-333.,  -39.,  455.]))
(1, 59721, 59727, 57640, array([ 4880.,   512., -5568.]), array([ -108.,  -147.,  1116.]), array([-333.,  -39.,  455.]))
(1, 60671, 60735, 60185, array([ 4848.,   512., -5568.]), array([  -10.,  -176.,  1036.]), array([-333.,  -36.,  454.]))
(1, 62094, 61743, 60185, array([ 4816.,   432., -5440.]), array([ 101., -205.,  943.]), array([-333.,  -36.,  454.]))
(1, 63044, 62751, 62731, array([ 4752.,   384., -5408.]), array([ 276., -223.,  868.]), array([-333.,  -38.,  454.]))
(1, 64468, 63760, 62731, array([ 4784.,   464., -5440.]), array([ 444., -206.,  803.]), array([-333.,  -38.,  454.]))
(1, 65417, 64768, 65276, array([ 4800.,   448., -5520.]), array([ 660., -179.,  722.]), array([-336.,  -36.,  456.]))
(1, 830, 240, 65276, array([ 4752.,   368., -5472.]), array([ 925., -176.,  669.]), array([-336.,  -36.,  456.]))
(1, 2254, 2256, 2286, array([ 4688.,   320., -5392.]), array([ 1291.,  -126.,   572.]), array([-336.,  -28.,  456.]))
(1, 3204, 3265, 2286, array([ 4848.,   336., -5440.]), array([ 1449.,  -109.,   521.]), array([-336.,  -28.,  456.]))
(1, 4153, 4273, 2286, array([ 4832.,   416., -5440.]), array([ 1617.,  -138.,   447.]), array([-336.,  -28.,  456.]))
(1, 5576, 5281, 4830, array([ 4816.,   336., -5440.]), array([ 1744.,   -93.,   396.]), array([-336.,  -29.,  456.]))
