(1, 3940, 3483, 3811, array([ 6944.,  -832., -3440.]), array([-747., -175.,  137.]), array([-300.,  129.,  479.]))
(1, 5364, 4492, 3811, array([ 6896.,  -912., -3296.]), array([-865., -190.,  160.]), array([-300.,  129.,  479.]))
(1, 6314, 6508, 6357, array([ 6960.,  -944., -3312.]), array([-983., -221.,  200.]), array([-297.,  128.,  482.]))
(1, 7264, 7516, 6357, array([ 6960., -1024., -3328.]), array([-1095.,  -183.,   253.]), array([-297.,  128.,  482.]))
(1, 12012, 11549, 11449, array([ 7024., -1856., -3152.]), array([-1868.,  -234.,   640.]), array([-298.,  123.,  487.]))
(1, 12962, 12557, 11449, array([ 7152., -1952., -2864.]), array([-2222.,  -265.,   746.]), array([-298.,  123.,  487.]))
(1, 14386, 13566, 13995, array([ 7264., -2224., -2704.]), array([-2552.,  -293.,   842.]), array([-294.,  116.,  481.]))
(1, 15335, 14574, 13995, array([ 7232., -2448., -2528.]), array([-2905.,  -260.,   951.]), array([-294.,  116.,  481.]))
(1, 16285, 16590, 16541, array([ 7264., -2624., -2512.]), array([-3663.,  -206.,  1307.]), array([-294.,  112.,  481.]))
(1, 17709, 17599, 16541, array([ 7136., -2736., -2112.]), array([-4063.,  -187.,  1486.]), array([-294.,  112.,  481.]))
(1, 18658, 18607, 16541, array([ 7024., -2784., -1968.]), array([-4468.,  -163.,  1687.]), array([-294.,  112.,  481.]))
(1, 19608, 19615, 19087, array([ 6928., -2768., -2000.]), array([-4927.,  -137.,  1870.]), array([-293.,  105.,  486.]))
(1, 21032, 20623, 19087, array([ 6832., -2704., -2064.]), array([-5346.,   -54.,  2055.]), array([-293.,  105.,  486.]))
(1, 21982, 21631, 21634, array([ 6800., -2656., -2016.]), array([-5827.,    30.,  2239.]), array([-295.,   95.,  484.]))
(1, 22932, 22640, 21634, array([ 6848., -2560., -2176.]), array([-6219.,   150.,  2391.]), array([-295.,   95.,  484.]))
(1, 24356, 23648, 24180, array([ 6992., -2464., -2384.]), array([-6463.,   189.,  2579.]), array([-292.,   86.,  482.]))
(1, 25306, 24656, 24180, array([ 7056., -2496., -2464.]), array([-6735.,   284.,  2707.]), array([-292.,   86.,  482.]))
(1, 26255, 26673, 26726, array([ 7136., -2448., -2560.]), array([-6973.,   448.,  2937.]), array([-293.,   80.,  485.]))
(1, 27679, 27681, 26726, array([ 7120., -2320., -2688.]), array([-7084.,   501.,  3073.]), array([-293.,   80.,  485.]))
