(1, 7877, 7462, 7405, array([ 3328., -2512., -6512.]), array([  30.,  219.,   37.]), array([ -15.,  243.,  546.]))
(1, 8827, 8470, 7405, array([ 3344., -2448., -6560.]), array([   5.,  175.,   42.]), array([ -15.,  243.,  546.]))
(1, 10251, 9479, 9951, array([ 3408., -2384., -6640.]), array([  40.,  134.,   15.]), array([ -15.,  245.,  546.]))
(1, 11201, 10487, 9951, array([ 3424., -2304., -6800.]), array([  52.,  129.,  -29.]), array([ -15.,  245.,  546.]))
(1, 12150, 12503, 12497, array([ 3376., -2224., -6848.]), array([ 133.,   48.,  -99.]), array([ -12.,  244.,  546.]))
(1, 13574, 13511, 12497, array([ 3456., -2160., -7040.]), array([ 187.,   15., -175.]), array([ -12.,  244.,  546.]))
(1, 14523, 14520, 12497, array([ 3424., -2176., -7040.]), array([ 233.,  -29., -229.]), array([ -12.,  244.,  546.]))
(1, 15472, 15528, 15043, array([ 3392., -2208., -7056.]), array([ 255., -108., -297.]), array([ -15.,  242.,  545.]))
(1, 16896, 16536, 15043, array([ 3360., -2160., -6816.]), array([ 234., -197., -311.]), array([ -15.,  242.,  545.]))
(1, 17845, 17544, 17589, array([ 3264., -2240., -6672.]), array([ 291., -272., -321.]), array([ -15.,  242.,  545.]))
(1, 19269, 18552, 17589, array([ 3232., -2320., -6496.]), array([ 279., -327., -339.]), array([ -15.,  242.,  545.]))
(1, 20219, 19561, 20135, array([ 3152., -2336., -6368.]), array([ 182., -375., -304.]), array([ -13.,  240.,  547.]))
(1, 21168, 20569, 20135, array([ 2992., -2448., -6304.]), array([ 131., -403., -309.]), array([ -13.,  240.,  547.]))
(1, 22592, 22585, 20135, array([ 2864., -2448., -6304.]), array([  15., -380., -279.]), array([ -13.,  240.,  547.]))
(1, 23541, 23593, 22681, array([ 2848., -2368., -6352.]), array([ -26., -370., -252.]), array([ -12.,  242.,  544.]))
(1, 24490, 24602, 22681, array([ 2896., -2336., -6464.]), array([  19., -343., -208.]), array([ -12.,  242.,  544.]))
(1, 25914, 25610, 25227, array([ 2880., -2240., -6464.]), array([ 108., -293., -139.]), array([ -12.,  243.,  547.]))
(1, 26863, 26618, 25227, array([ 2848., -2192., -6496.]), array([ 195., -240.,  -98.]), array([ -12.,  243.,  547.]))
