(1, 46574, 46485, 44670, array([ 8064.,  2544., -2704.]), array([ 1166.,  2397.,   961.]), array([-450., -183.,  181.]))
(1, 47523, 47493, 47215, array([ 7952.,  2096., -2528.]), array([ 1625.,  2166.,  1037.]), array([-457., -181.,  181.]))
(1, 48946, 48502, 47215, array([ 7968.,   800., -2176.]), array([ 2144.,  2074.,  1012.]), array([-457., -181.,  181.]))
(1, 49896, 49510, 49760, array([ 8064.,   784., -2128.]), array([ 2110.,  2086.,  1016.]), array([-457., -178.,  179.]))
(1, 51319, 50518, 49760, array([ 8128.,   960., -2080.]), array([ 1672.,  2005.,  1004.]), array([-457., -178.,  179.]))
(1, 52269, 51526, 52303, array([ 8160.,  1136., -2112.]), array([ 1281.,  1890.,   982.]), array([-457., -175.,  173.]))
(1, 53218, 53542, 52303, array([ 8128.,  1200., -2048.]), array([  775.,  1712.,   928.]), array([-457., -175.,  173.]))
(1, 54642, 54551, 52303, array([ 8176.,  1264., -2144.]), array([  641.,  1602.,   869.]), array([-457., -175.,  173.]))
(1, 55591, 55559, 54848, array([ 8192.,  1312., -2128.]), array([  435.,  1506.,   799.]), array([-457., -172.,  173.]))
(1, 56540, 56567, 54848, array([ 8176.,  1456., -2112.]), array([  320.,  1445.,   734.]), array([-457., -172.,  173.]))
(1, 57965, 57575, 57392, array([ 8208.,  1728., -2144.]), array([  170.,  1368.,   660.]), array([-461., -170.,  178.]))
(1, 58914, 58583, 57392, array([ 8192.,  1840., -2128.]), array([  104.,  1253.,   605.]), array([-461., -170.,  178.]))
(1, 59863, 59591, 59937, array([ 8224.,  1856., -2128.]), array([  164.,  1179.,   586.]), array([-460., -173.,  172.]))
(1, 61286, 60600, 59937, array([ 8192.,  1968., -2096.]), array([  243.,  1132.,   584.]), array([-460., -173.,  172.]))
(1, 62235, 61608, 62482, array([ 8144.,  2000., -2016.]), array([  321.,  1092.,   562.]), array([-461., -167.,  169.]))
(1, 63659, 63624, 62482, array([ 8080.,  1920., -1920.]), array([ 480.,  926.,  442.]), array([-461., -167.,  169.]))
(1, 64608, 64632, 62482, array([ 8080.,  1824., -1872.]), array([ 548.,  850.,  379.]), array([-461., -167.,  169.]))
(1, 21, 104, 65026, array([ 8144.,  1856., -1760.]), array([ 595.,  773.,  315.]), array([-462., -167.,  166.]))
(1, 1445, 1113, 65026, array([ 8080.,  1856., -1648.]), array([ 616.,  698.,  227.]), array([-462., -167.,  166.]))
(1, 2394, 2121, 2035, array([ 8064.,  1984., -1584.]), array([ 559.,  616.,  163.]), array([-463., -169.,  166.]))
(1, 3343, 3129, 2035, array([ 8080.,  2080., -1552.]), array([ 601.,  500.,  105.]), array([-463., -169.,  166.]))
(1, 4766, 4137, 4579, array([ 8016.,  2160., -1504.]), array([ 686.,  389.,    3.]), array([-461., -168.,  165.]))
(1, 5716, 5145, 4579, array([ 8000.,  2128., -1456.]), array([ 830.,  316.,  -53.]), array([-461., -168.,  165.]))
(1, 6665, 7162, 7122, array([ 8064.,  2112., -1360.]), array([ 1042.,   163.,  -203.]), array([-463., -168.,  168.]))
(1, 8088, 8170, 7122, array([ 8048.,  1808., -1200.]), array([ 1052.,   128.,  -239.]), array([-463., -168.,  168.]))
(1, 9037, 9178, 7122, array([ 8080.,  1760., -1136.]), array([ 951.,   78., -259.]), array([-463., -168.,  168.]))
(1, 10461, 10186, 9666, array([ 8048.,  1584., -1072.]), array([ 810.,    3., -320.]), array([-463., -171.,  170.]))
(1, 11410, 11194, 9666, array([ 8000.,  1552., -1040.]), array([ 618.,  -81., -349.]), array([-463., -171.,  170.]))
(1, 12359, 12202, 12211, array([ 8016.,  1568., -1056.]), array([ 360., -158., -370.]), array([-463., -171.,  170.]))
(1, 13783, 13211, 12211, array([ 8000.,  1648., -1024.]), array([ 192., -227., -421.]), array([-463., -171.,  170.]))
(1, 14732, 14219, 14756, array([ 7920.,  1680., -1008.]), array([  55., -266., -481.]), array([-459., -169.,  167.]))
(1, 16155, 15227, 14756, array([ 7824.,  1632.,  -880.]), array([ -23., -321., -488.]), array([-459., -169.,  167.]))
(1, 17104, 17243, 14756, array([ 7824.,  1584.,  -784.]), array([ -50., -370., -482.]), array([-459., -169.,  167.]))
(1, 18054, 18251, 17300, array([ 7840.,  1552.,  -624.]), array([ -62., -372., -460.]), array([-459., -172.,  167.]))
(1, 19477, 19260, 17300, array([ 7840.,  1456.,  -576.]), array([ -36., -389., -462.]), array([-459., -172.,  167.]))
(1, 20426, 20268, 19845, array([ 7760.,  1520.,  -496.]), array([ -44., -376., -447.]), array([-465., -171.,  171.]))
(1, 21376, 21276, 19845, array([ 7792.,  1568.,  -464.]), array([  34., -343., -436.]), array([-465., -171.,  171.]))
