(1, 49316, 48630, 46793, array([ 4672.,   256., -4464.]), array([ 259., -528.,  149.]), array([-207., -138.,  516.]))
(1, 50265, 49638, 49337, array([ 4672.,   256., -4624.]), array([ 137., -517.,  109.]), array([-203., -140.,  513.]))
(1, 51214, 50646, 49337, array([ 4688.,   320., -4736.]), array([  87., -499.,   41.]), array([-203., -140.,  513.]))
(1, 52637, 52662, 51883, array([ 4784.,   384., -4912.]), array([  50., -385.,   24.]), array([-203., -141.,  513.]))
(1, 53586, 53671, 51883, array([ 4816.,   400., -4912.]), array([  94., -373.,  -17.]), array([-203., -141.,  513.]))
(1, 54535, 54679, 54427, array([ 4800.,   384., -4992.]), array([ 129., -311.,   -9.]), array([-204., -140.,  512.]))
(1, 55959, 55687, 54427, array([ 4816.,   320., -4976.]), array([ 169., -281.,   23.]), array([-204., -140.,  512.]))
(1, 56907, 56695, 56973, array([ 4848.,   288., -5024.]), array([ 137., -277.,   -9.]), array([-199., -141.,  514.]))
(1, 57856, 57703, 56973, array([ 4816.,   224., -4976.]), array([ 128., -266.,    3.]), array([-199., -141.,  514.]))
(1, 59280, 58711, 56973, array([ 4704.,    80., -4704.]), array([  72., -232.,   10.]), array([-199., -141.,  514.]))
(1, 60229, 59719, 59518, array([ 4640.,     0., -4704.]), array([ -25., -205.,    2.]), array([-202., -141.,  516.]))
(1, 61653, 60728, 59518, array([ 4320.,  -224., -4208.]), array([-200., -213.,   -6.]), array([-202., -141.,  516.]))
