(1, 59867, 60066, 57783, array([ 7296.,   928.,  4528.]), array([ 409.,   32.,   10.]), array([-466.,  197., -192.]))
(1, 61291, 61075, 60329, array([ 7248.,   992.,  4480.]), array([ 373.,   42.,    6.]), array([-466.,  198., -190.]))
(1, 62240, 62083, 60329, array([ 7248.,   976.,  4560.]), array([ 330.,   68.,  -31.]), array([-466.,  198., -190.]))
(1, 63190, 63091, 62873, array([ 7248.,  1024.,  4496.]), array([ 243.,   73.,  -30.]), array([-466.,  200., -190.]))
(1, 64614, 64099, 62873, array([ 7248.,   960.,  4384.]), array([ 165.,   99.,  -10.]), array([-466.,  200., -190.]))
(1, 27, 65107, 65418, array([ 7248.,   896.,  4368.]), array([ 108.,   99.,  -29.]), array([-467.,  197., -196.]))
(1, 977, 579, 65418, array([ 7344.,   848.,  4320.]), array([-11.,  77., -34.]), array([-467.,  197., -196.]))
(1, 2401, 1587, 2426, array([ 7248.,   784.,  4272.]), array([-56.,  80., -15.]), array([-466.,  198., -192.]))
(1, 6673, 6628, 4972, array([ 7264.,   800.,  4288.]), array([-31.,  54.,  42.]), array([-466.,  198., -192.]))
(1, 8097, 7636, 7517, array([ 7200.,   800.,  4320.]), array([-25.,  54.,  51.]), array([-467.,  203., -195.]))
(1, 9047, 8644, 7517, array([ 7232.,   816.,  4304.]), array([-26.,  50.,  53.]), array([-467.,  203., -195.]))
(1, 9996, 9652, 10062, array([ 7200.,   848.,  4272.]), array([-23.,  45.,  51.]), array([-467.,  201., -196.]))
(1, 11420, 10660, 10062, array([ 7216.,   800.,  4256.]), array([-67.,  63.,  20.]), array([-467.,  201., -196.]))
(1, 13319, 13685, 12607, array([ 7152.,   784.,  4272.]), array([ 47.,  72.,   5.]), array([-467.,  200., -197.]))
(1, 14743, 14693, 12607, array([ 7120.,   816.,  4256.]), array([ 89.,  81.,  -5.]), array([-467.,  200., -197.]))
(1, 15693, 15701, 15153, array([ 7168.,   848.,  4272.]), array([ 74.,  67.,  16.]), array([-465.,  199., -196.]))
(1, 17117, 16709, 15153, array([ 7136.,   896.,  4288.]), array([ 93.,  88.,  14.]), array([-465.,  199., -196.]))
(1, 18067, 17717, 17698, array([ 7152.,   896.,  4208.]), array([ 88.,  67.,  -7.]), array([-468.,  197., -192.]))
(1, 19016, 18725, 17698, array([ 7184.,   880.,  4224.]), array([ 59.,  91.,  -6.]), array([-468.,  197., -192.]))
(1, 20440, 19733, 20243, array([ 7232.,   880.,  4288.]), array([ 74.,  70., -10.]), array([-467.,  199., -195.]))
(1, 21390, 20741, 20243, array([ 7232.,   912.,  4288.]), array([ 47.,  72.,   7.]), array([-467.,  199., -195.]))
(1, 22340, 22758, 20243, array([ 7248.,   896.,  4192.]), array([  6.,  61.,  -2.]), array([-467.,  199., -195.]))
(1, 23764, 23766, 22789, array([ 7296.,   848.,  4240.]), array([-22.,  69.,  -2.]), array([-465.,  201., -197.]))
(1, 24713, 24774, 22789, array([ 7232.,   800.,  4192.]), array([-18.,  85.,  19.]), array([-465.,  201., -197.]))
(1, 26138, 25782, 25335, array([ 7328.,   784.,  4208.]), array([-34.,  75.,  27.]), array([-465.,  199., -195.]))
(1, 27087, 26790, 25335, array([ 7296.,   752.,  4208.]), array([ -8.,  79.,  37.]), array([-465.,  199., -195.]))
(1, 28037, 27798, 27881, array([ 7296.,   784.,  4240.]), array([ 32.,  79., -10.]), array([-464.,  199., -194.]))
(1, 29461, 28806, 27881, array([ 7264.,   768.,  4224.]), array([ 43.,  80., -18.]), array([-464.,  199., -194.]))
(1, 30410, 29814, 30426, array([ 7264.,   816.,  4160.]), array([ 114.,   79.,    6.]), array([-466.,  199., -196.]))
