(1, 44158, 44387, 42866, array([ 7920.,   752., -2832.]), array([ 1172.,  1402.,  1304.]), array([-469., -132.,  201.]))
(1, 45582, 45395, 45414, array([ 7824.,   512., -2768.]), array([ 1343.,  1364.,  1332.]), array([-478., -133.,  197.]))
(1, 46531, 46403, 45414, array([ 7840.,   304., -2672.]), array([ 1353.,  1338.,  1324.]), array([-478., -133.,  197.]))
(1, 47480, 47411, 45414, array([ 7760.,   192., -2592.]), array([ 1312.,  1308.,  1337.]), array([-478., -133.,  197.]))
(1, 48903, 48419, 47962, array([ 7696.,   -48., -2528.]), array([ 1132.,  1272.,  1341.]), array([-477., -129.,  191.]))
(1, 49853, 49427, 47962, array([ 7616.,  -112., -2416.]), array([  900.,  1261.,  1376.]), array([-477., -129.,  191.]))
(1, 50802, 50435, 50510, array([ 7552.,   -96., -2368.]), array([  609.,  1276.,  1394.]), array([-477., -131.,  191.]))
(1, 52226, 51444, 50510, array([ 7504.,    16., -2352.]), array([  271.,  1275.,  1388.]), array([-477., -131.,  191.]))
(1, 53175, 53460, 53057, array([ 7584.,   112., -2384.]), array([ -293.,  1269.,  1390.]), array([-487., -128.,  191.]))
(1, 54123, 54468, 53057, array([ 7632.,   128., -2368.]), array([ -498.,  1289.,  1371.]), array([-487., -128.,  191.]))
(1, 55547, 55476, 55605, array([ 7744.,   304., -2416.]), array([ -662.,  1318.,  1344.]), array([-484., -130.,  183.]))
(1, 56496, 56484, 55605, array([ 7792.,   448., -2368.]), array([ -825.,  1325.,  1327.]), array([-484., -130.,  183.]))
(1, 58867, 58501, 58153, array([ 7760.,   672., -2480.]), array([ -887.,  1324.,  1259.]), array([-484., -127.,  183.]))
(1, 61240, 60517, 60700, array([ 7808.,   896., -2384.]), array([ -683.,  1252.,  1204.]), array([-487., -126.,  179.]))
(1, 62189, 61525, 60700, array([ 7872.,   880., -2432.]), array([ -571.,  1238.,  1174.]), array([-487., -126.,  179.]))
(1, 63138, 63541, 63247, array([ 7920.,   880., -2384.]), array([ -169.,  1195.,  1104.]), array([-491., -130.,  177.]))
(1, 64561, 64550, 63247, array([ 7968.,   784., -2384.]), array([  -28.,  1169.,  1063.]), array([-491., -130.,  177.]))
(1, 65510, 22, 260, array([ 7968.,   768., -2384.]), array([   82.,  1117.,  1023.]), array([-490., -131.,  175.]))
