(1, 64064, 63932, 62149, array([ 7904., -1040., -2000.]), array([-1891.,   914.,  -259.]), array([-480.,  -37.,  131.]))
(1, 65489, 64940, 64694, array([ 7936.,  -848., -2080.]), array([-1711.,   884.,  -154.]), array([-479.,  -37.,  131.]))
(1, 902, 412, 64694, array([ 7888.,  -800., -2064.]), array([-1515.,   857.,   -38.]), array([-479.,  -37.,  131.]))
(1, 1851, 1420, 1702, array([ 7920.,  -896., -2096.]), array([-1277.,   803.,    45.]), array([-482.,  -37.,  132.]))
(1, 3275, 2429, 1702, array([ 7856.,  -832., -2016.]), array([-1058.,   750.,   119.]), array([-482.,  -37.,  132.]))
(1, 4225, 4445, 4247, array([ 7728.,  -784., -2096.]), array([-746.,  759.,  272.]), array([-480.,  -40.,  125.]))
(1, 5174, 5453, 4247, array([ 7728.,  -752., -2160.]), array([-611.,  750.,  312.]), array([-480.,  -40.,  125.]))
(1, 6598, 6462, 4247, array([ 7600.,  -688., -2112.]), array([-478.,  701.,  342.]), array([-480.,  -40.,  125.]))
(1, 7548, 7470, 6792, array([ 7600.,  -688., -2176.]), array([-442.,  671.,  364.]), array([-480.,  -36.,  125.]))
(1, 8497, 8478, 6792, array([ 7616.,  -576., -2288.]), array([-358.,  629.,  372.]), array([-480.,  -36.,  125.]))
(1, 9921, 9486, 9336, array([ 7600.,  -432., -2416.]), array([-356.,  602.,  404.]), array([-481.,  -36.,  123.]))
(1, 10870, 10494, 9336, array([ 7552.,  -240., -2464.]), array([-346.,  576.,  388.]), array([-481.,  -36.,  123.]))
(1, 12294, 11503, 11881, array([ 7584.,   -32., -2528.]), array([-284.,  507.,  356.]), array([-481.,  -37.,  123.]))
(1, 13243, 12511, 11881, array([ 7584.,    16., -2528.]), array([-282.,  470.,  311.]), array([-481.,  -37.,  123.]))
(1, 14193, 14527, 14426, array([ 7552.,   144., -2496.]), array([-405.,  353.,  264.]), array([-482.,  -35.,  123.]))
(1, 15617, 15536, 14426, array([ 7616.,    96., -2480.]), array([-477.,  271.,  250.]), array([-482.,  -35.,  123.]))
(1, 16566, 16544, 14426, array([ 7632.,   128., -2448.]), array([-542.,  221.,  209.]), array([-482.,  -35.,  123.]))
(1, 17516, 17552, 16971, array([ 7648.,   176., -2352.]), array([-705.,  187.,  191.]), array([-480.,  -35.,  122.]))
(1, 18939, 18560, 16971, array([ 7696.,   208., -2336.]), array([-852.,  151.,  211.]), array([-480.,  -35.,  122.]))
(1, 19888, 19569, 19515, array([ 7696.,   192., -2288.]), array([-1040.,    94.,   164.]), array([-481.,  -36.,  126.]))
(1, 21312, 20577, 19515, array([ 7856.,   192., -2176.]), array([-1225.,    61.,   134.]), array([-481.,  -36.,  126.]))
(1, 22262, 21585, 22061, array([ 7920.,   144., -2032.]), array([-1345.,   -27.,   141.]), array([-481.,  -34.,  119.]))
(1, 23211, 22593, 22061, array([ 7856.,    96., -2048.]), array([-1568.,   -47.,   112.]), array([-481.,  -34.,  119.]))
(1, 24635, 24610, 24606, array([ 7808.,   128., -2048.]), array([-1888.,  -171.,   111.]), array([-479.,  -36.,  120.]))
