type,ID,seq,packetLoss,nodeTimestamp,bsTimestamp,syncTimestamp,systemTime,accelX,accelY,accelZ,cannula,voltage
2,5,6,1,12452544,14864189,-2881445047964774690,1361426821.921987,18828,-1864,616,nan,0.000000
2,5,6,1,12452544,14864189,-2881445047964772069,1361426821.921987,17992,-1852,-12,nan,0.000000
2,5,6,1,12452544,14864189,-2881445047964769448,1361426821.921987,14832,-3476,-3140,nan,0.000000
2,5,6,1,12452544,14864189,-2881445047964766827,1361426821.921987,15932,-4300,-1612,nan,0.000000
2,5,6,1,12452544,14864189,-2881445047964764206,1361426821.921987,14304,-1716,-200,nan,0.000000
2,5,7,1,12452544,14864221,-2881445047964761585,1361426821.922776,15116,-1112,-396,nan,0.000000
2,5,7,1,12452544,14864221,-2881445047964758964,1361426821.922776,16248,-1548,-404,nan,0.000000
2,5,7,1,12452544,14864221,-2881445047964756343,1361426821.922776,16052,-348,668,nan,0.000000
2,5,7,1,12452544,14864221,-2881445047964753722,1361426821.922776,15856,-52,864,nan,0.000000
2,5,7,1,12452544,14864221,-2881445047964751101,1361426821.922776,15756,-268,488,nan,0.000000
2,5,8,1,12452544,14864254,-2881445047964748480,1361426821.923348,15772,-176,1384,nan,0.000000
2,5,8,1,12452544,14864254,-2881445047964745859,1361426821.923348,17996,-1080,1508,nan,0.000000
2,5,8,1,12452544,14864254,-2881445047964743238,1361426821.923348,17972,-1172,304,nan,0.000000
2,5,8,1,12452544,14864254,-2881445047964740617,1361426821.923348,15624,-2804,-540,nan,0.000000
2,5,8,1,12452544,14864254,-2881445047964737996,1361426821.923348,14452,-2672,-808,nan,0.000000
2,5,9,1,12452544,14864285,-2881445047964735375,1361426824.398960,16016,-2376,512,nan,0.000000
2,5,9,1,12452544,14864285,-2881445047964732754,1361426824.398960,17396,-1480,16,nan,0.000000
2,5,9,1,12452544,14864285,-2881445047964730133,1361426824.398960,14624,-3036,-64,nan,0.000000
2,5,9,1,12452544,14864285,-2881445047964727512,1361426824.398960,15288,-2492,688,nan,0.000000
2,5,9,1,12452544,14864285,-2881445047964724891,1361426824.398960,15488,-2036,472,nan,0.000000
1,5,10,0,12533870,14945423,1152984155097858050,1361426824.400614,15768,-1768,632,nan,0.000000
1,5,10,0,12533870,14945423,1152984155097860671,1361426824.400614,15652,-2060,692,nan,0.000000
2,5,11,0,12533870,14945455,1152984155097863292,1361426824.401067,16024,-1656,1076,nan,0.000000
2,5,11,0,12533870,14945455,1152984155097865913,1361426824.401067,18108,-2432,284,nan,0.000000
2,5,11,0,12533870,14945455,1152984155097868534,1361426824.401067,15632,-1884,-292,nan,0.000000
2,5,11,0,12533870,14945455,1152984155097871155,1361426824.401067,14832,-2676,-1052,nan,0.000000
2,5,11,0,12533870,14945455,1152984155097873776,1361426824.401067,15328,-2988,-2556,nan,0.000000
2,5,12,0,12533870,14945486,1152984155097876397,1361426824.402621,17324,-2952,-1308,nan,0.000000
2,5,12,0,12533870,14945486,1152984155097879018,1361426824.402621,15316,-188,-1308,nan,0.000000
2,5,12,0,12533870,14945486,1152984155097881639,1361426824.402621,15868,-1672,-1896,nan,0.000000
2,5,12,0,12533870,14945486,1152984155097884260,1361426824.402621,16160,-1384,-2184,nan,0.000000
2,5,12,0,12533870,14945486,1152984155097886881,1361426824.402621,16180,20,-2804,nan,0.000000
2,5,13,0,12533870,14945519,1152984155097889502,1361426824.403392,16460,-164,-2912,nan,0.000000
2,5,13,0,12533870,14945519,1152984155097892123,1361426824.403392,15776,-364,-1856,nan,0.000000
2,5,13,0,12533870,14945519,1152984155097894744,1361426824.403392,15068,-3328,-2728,nan,0.000000
2,5,13,0,12533870,14945519,1152984155097897365,1361426824.403392,16512,-2760,-1280,nan,0.000000
2,5,13,0,12533870,14945519,1152984155097899986,1361426824.403392,16308,-960,-160,nan,0.000000
2,5,14,0,12533870,14945550,1152984155097902607,1361426824.404547,16884,-2600,300,nan,0.000000
2,5,14,0,12533870,14945550,1152984155097905228,1361426824.404547,15556,-3252,-36,nan,0.000000
2,5,14,0,12533870,14945550,1152984155097907849,1361426824.404547,15276,-2484,780,nan,0.000000
2,5,14,0,12533870,14945550,1152984155097910470,1361426824.404547,15680,-3612,704,nan,0.000000
2,5,14,0,12533870,14945550,1152984155097913091,1361426824.404547,15428,-2588,1268,nan,0.000000
2,5,15,0,12533870,14945583,1152984155097915712,1361426824.405513,15336,-2620,1852,nan,0.000000
2,5,15,0,12533870,14945583,1152984155097918333,1361426824.405513,15508,-2488,2536,nan,0.000000
2,5,15,0,12533870,14945583,1152984155097920954,1361426824.405513,15496,-2236,3036,nan,0.000000
2,5,15,0,12533870,14945583,1152984155097923575,1361426824.405513,17060,-2396,2728,nan,0.000000
2,5,15,0,12533870,14945583,1152984155097926196,1361426824.405513,15620,-1816,1704,nan,0.000000
2,5,0,0,12533870,14945614,1152984155097928817,1361426826.880901,15168,-2724,1236,nan,0.000000
2,5,0,0,12533870,14945614,1152984155097931438,1361426826.880901,16584,-1116,-524,nan,0.000000
2,5,0,0,12533870,14945614,1152984155097934059,1361426826.880901,16760,-636,-44,nan,0.000000
2,5,0,0,12533870,14945614,1152984155097936680,1361426826.880901,15036,-84,-256,nan,0.000000
2,5,0,0,12533870,14945614,1152984155097939301,1361426826.880901,16048,-152,64,nan,0.000000
1,5,1,0,12615195,15026753,-793296558043900924,1361426826.882526,15980,-212,1132,nan,0.000000
1,5,1,0,12615195,15026753,-793296558043898303,1361426826.882526,15980,404,928,nan,0.000000
2,5,2,0,12615195,15026785,-793296558043895682,1361426826.883133,15976,328,1404,nan,0.000000
2,5,2,0,12615195,15026785,-793296558043893061,1361426826.883133,16124,144,1508,nan,0.000000
2,5,2,0,12615195,15026785,-793296558043890440,1361426826.883133,17056,660,2004,nan,0.000000
2,5,2,0,12615195,15026785,-793296558043887819,1361426826.883133,18216,-544,1596,nan,0.000000
2,5,2,0,12615195,15026785,-793296558043885198,1361426826.883133,16180,-2252,-804,nan,0.000000
2,5,3,0,12615195,15026816,-793296558043882577,1361426826.884487,14840,-3220,-344,nan,0.000000
2,5,3,0,12615195,15026816,-793296558043879956,1361426826.884487,16460,-2104,968,nan,0.000000
2,5,3,0,12615195,15026816,-793296558043877335,1361426826.884487,17016,-1600,980,nan,0.000000
2,5,3,0,12615195,15026816,-793296558043874714,1361426826.884487,14364,-2544,1004,nan,0.000000
2,5,3,0,12615195,15026816,-793296558043872093,1361426826.884487,15488,-2464,1736,nan,0.000000
2,5,4,0,12615195,15026849,-793296558043869472,1361426826.885333,14848,-1928,1948,nan,0.000000
2,5,4,0,12615195,15026849,-793296558043866851,1361426826.885333,15120,-1476,2156,nan,0.000000
2,5,4,0,12615195,15026849,-793296558043864230,1361426826.885333,15940,-1048,2456,nan,0.000000
2,5,4,0,12615195,15026849,-793296558043861609,1361426826.885333,15572,-588,2912,nan,0.000000
2,5,4,0,12615195,15026849,-793296558043858988,1361426826.885333,15896,-24,3796,nan,0.000000
2,5,5,0,12615195,15026880,-793296558043856367,1361426826.886497,21024,-4828,-308,nan,0.000000
2,5,5,0,12615195,15026880,-793296558043853746,1361426826.886497,16372,-348,872,nan,0.000000
2,5,5,0,12615195,15026880,-793296558043851125,1361426826.886497,13372,-4416,-3312,nan,0.000000
2,5,5,0,12615195,15026880,-793296558043848504,1361426826.886497,15376,-4496,-1680,nan,0.000000
2,5,5,0,12615195,15026880,-793296558043845883,1361426826.886497,16472,-2488,-984,nan,0.000000
