(6, 1476, 655, 328, array([-8032.,  -448.,  2656.]), array([-8507.,  -470.,  5149.]), array([ 195.,  268., -315.]))
(6, 2425, 1663, 328, array([-7968.,  -672.,  2656.]), array([-8484.,  -491.,  5197.]), array([ 195.,  268., -315.]))
(6, 3374, 3679, 2872, array([-7968.,  -624.,  2672.]), array([-8442.,  -455.,  5202.]), array([ 195.,  276., -311.]))
(6, 4798, 4687, 2872, array([-7888.,  -656.,  2656.]), array([-8482.,  -419.,  5173.]), array([ 195.,  276., -311.]))
(6, 5748, 5695, 5417, array([-7936.,  -496.,  2672.]), array([-8560.,  -447.,  5121.]), array([ 200.,  281., -306.]))
(6, 6696, 6703, 5417, array([-8064.,  -608.,  2624.]), array([-8513.,  -505.,  5177.]), array([ 200.,  281., -306.]))
(6, 8120, 7711, 7963, array([-7968.,  -496.,  2640.]), array([-8496.,  -459.,  5187.]), array([ 204.,  293., -303.]))
(6, 9068, 8719, 7963, array([-8000.,  -544.,  2592.]), array([-8505.,  -449.,  5167.]), array([ 204.,  293., -303.]))
(6, 10017, 9727, 7963, array([-8048.,  -560.,  2720.]), array([-8498.,  -483.,  5165.]), array([ 204.,  293., -303.]))
(6, 11441, 10735, 10508, array([-8000.,  -576.,  2640.]), array([-8525.,  -460.,  5186.]), array([ 210.,  294., -290.]))
(6, 12390, 11743, 10508, array([-8064.,  -560.,  2720.]), array([-8516.,  -488.,  5189.]), array([ 210.,  294., -290.]))
(6, 13813, 13759, 13053, array([-7984.,  -560.,  2624.]), array([-8546.,  -462.,  5127.]), array([ 210.,  300., -290.]))
(6, 14762, 14767, 13053, array([-7952.,  -496.,  2768.]), array([-8510.,  -499.,  5134.]), array([ 210.,  300., -290.]))
(6, 15710, 15775, 15599, array([-7920.,  -560.,  2704.]), array([-8488.,  -484.,  5181.]), array([ 214.,  305., -288.]))
(6, 17134, 16783, 15599, array([-8096.,  -464.,  2672.]), array([-8500.,  -476.,  5171.]), array([ 214.,  305., -288.]))
(6, 18083, 17791, 18145, array([-8144.,  -464.,  2528.]), array([-8469.,  -502.,  5159.]), array([ 220.,  310., -271.]))
(6, 19031, 18799, 18145, array([-8000.,  -368.,  2448.]), array([-8545.,  -473.,  5122.]), array([ 220.,  310., -271.]))
(6, 20455, 19807, 18145, array([-8144.,  -480.,  2592.]), array([-8514.,  -505.,  5190.]), array([ 220.,  310., -271.]))
(6, 21404, 20815, 20690, array([-8064.,  -496.,  2592.]), array([-8490.,  -478.,  5242.]), array([ 223.,  314., -271.]))
(6, 22827, 22831, 20690, array([-8032.,  -496.,  2592.]), array([-8539.,  -463.,  5190.]), array([ 223.,  314., -271.]))
(6, 23775, 23839, 23237, array([-8112.,  -544.,  2496.]), array([-8536.,  -450.,  5175.]), array([ 227.,  321., -267.]))
(6, 24724, 24847, 23237, array([-8032.,  -512.,  2512.]), array([-8552.,  -443.,  5205.]), array([ 227.,  321., -267.]))
(6, 26148, 25855, 25783, array([-8112.,  -512.,  2512.]), array([-8526.,  -461.,  5229.]), array([ 231.,  325., -259.]))
(6, 27097, 26863, 25783, array([-8080.,  -448.,  2496.]), array([-8542.,  -435.,  5189.]), array([ 231.,  325., -259.]))
(6, 28046, 27871, 28327, array([-8064.,  -400.,  2576.]), array([-8554.,  -469.,  5168.]), array([ 236.,  326., -254.]))
(6, 29469, 28879, 28327, array([-8064.,  -384.,  2608.]), array([-8559.,  -515.,  5170.]), array([ 236.,  326., -254.]))
(6, 30423, 29887, 28327, array([-8032.,  -416.,  2560.]), array([-8530.,  -483.,  5208.]), array([ 236.,  326., -254.]))
(6, 31845, 30895, 30873, array([-8128.,  -400.,  2576.]), array([-8545.,  -470.,  5213.]), array([ 240.,  332., -245.]))
