(6, 46099, 46030, 45387, array([-7760.,  -368.,  2512.]), array([-8349.,  -375.,  3013.]), array([ 224.,  -34., -294.]))
(6, 47049, 47038, 45387, array([-7728.,  -400.,  2576.]), array([-8355.,  -352.,  3043.]), array([ 224.,  -34., -294.]))
(6, 48472, 48046, 47933, array([-7728.,  -416.,  2672.]), array([-8361.,  -359.,  3072.]), array([ 226.,  -25., -296.]))
(6, 49420, 49054, 47933, array([-7744.,  -368.,  2640.]), array([-8342.,  -349.,  3050.]), array([ 226.,  -25., -296.]))
(6, 50369, 50062, 50478, array([-7728.,  -336.,  2624.]), array([-8296.,  -359.,  3063.]), array([ 222.,  -17., -298.]))
(6, 51792, 51070, 50478, array([-7744.,  -384.,  2640.]), array([-8337.,  -371.,  3051.]), array([ 222.,  -17., -298.]))
(6, 52741, 52078, 53023, array([-7824.,  -448.,  2656.]), array([-8336.,  -368.,  3051.]), array([ 223.,   -7., -303.]))
(6, 54165, 54094, 53023, array([-7824.,  -560.,  2640.]), array([-8319.,  -359.,  3083.]), array([ 223.,   -7., -303.]))
(6, 55114, 55102, 53023, array([-7712.,  -416.,  2608.]), array([-8283.,  -348.,  3055.]), array([ 223.,   -7., -303.]))
(6, 56063, 56110, 55569, array([-7728.,  -432.,  2592.]), array([-8310.,  -374.,  3048.]), array([ 223.,    2., -308.]))
(6, 57486, 57118, 55569, array([-7840.,  -544.,  2560.]), array([-8306.,  -371.,  3078.]), array([ 223.,    2., -308.]))
(6, 58435, 58126, 58115, array([-7760.,  -512.,  2592.]), array([-8306.,  -334.,  3082.]), array([ 219.,   10., -310.]))
(6, 59384, 59134, 58115, array([-7712.,  -416.,  2544.]), array([-8298.,  -353.,  3090.]), array([ 219.,   10., -310.]))
(6, 60807, 60142, 60660, array([-7792.,  -352.,  2528.]), array([-8241.,  -367.,  3084.]), array([ 220.,   19., -314.]))
(6, 61756, 61150, 60660, array([-7808.,  -480.,  2480.]), array([-8275.,  -361.,  3087.]), array([ 220.,   19., -314.]))
(6, 63180, 63166, 60660, array([-7840.,  -576.,  2544.]), array([-8237.,  -337.,  3124.]), array([ 220.,   19., -314.]))
(6, 64129, 64174, 63205, array([-7856.,  -688.,  2432.]), array([-8304.,  -311.,  3119.]), array([ 218.,   26., -316.]))
(6, 65078, 65182, 63205, array([-7824.,  -624.,  2416.]), array([-8273.,  -332.,  3094.]), array([ 218.,   26., -316.]))
