(6, 33140, 33420, 32694, array([-7920.,  -208.,  1488.]), array([-7541.,  -163.,   675.]), array([ 304.,  -61., -232.]))
(6, 34564, 34428, 32694, array([-7920.,  -368.,  1536.]), array([-7566.,  -145.,   674.]), array([ 304.,  -61., -232.]))
(6, 35513, 35436, 35239, array([-7872.,  -240.,  1552.]), array([-7550.,  -129.,   674.]), array([ 304.,  -58., -232.]))
(6, 36936, 36445, 35239, array([-7920.,  -256.,  1600.]), array([-7581.,  -112.,   650.]), array([ 304.,  -58., -232.]))
(6, 37885, 37453, 37785, array([-7984.,  -224.,  1504.]), array([-7578.,  -122.,   630.]), array([ 304.,  -51., -238.]))
(6, 38834, 38461, 37785, array([-7936.,  -160.,  1568.]), array([-7585.,  -127.,   633.]), array([ 304.,  -51., -238.]))
(6, 40258, 39469, 37785, array([-7984.,  -240.,  1504.]), array([-7612.,  -160.,   652.]), array([ 304.,  -51., -238.]))
(6, 41216, 40477, 40330, array([-8000.,  -224.,  1472.]), array([-7624.,  -171.,   665.]), array([ 305.,  -42., -242.]))
(6, 42165, 42493, 40330, array([-7936.,  -208.,  1424.]), array([-7625.,  -178.,   674.]), array([ 305.,  -42., -242.]))
(6, 43588, 43501, 42874, array([-8016.,  -336.,  1408.]), array([-7673.,  -169.,   658.]), array([ 298.,  -33., -245.]))
(6, 44537, 44509, 42874, array([-7920.,  -320.,  1408.]), array([-7653.,  -181.,   679.]), array([ 298.,  -33., -245.]))
(6, 45486, 45517, 45418, array([-8016.,  -256.,  1520.]), array([-7616.,  -156.,   664.]), array([ 300.,  -31., -250.]))
(6, 46909, 46525, 45418, array([-7872.,  -368.,  1440.]), array([-7716.,  -140.,   646.]), array([ 300.,  -31., -250.]))
(6, 47858, 47533, 47964, array([-7904.,  -256.,  1440.]), array([-7667.,  -118.,   667.]), array([ 301.,  -22., -248.]))
(6, 49282, 48541, 47964, array([-7904.,  -240.,  1520.]), array([-7708.,  -102.,   661.]), array([ 301.,  -22., -248.]))
(6, 50231, 49549, 47964, array([-7888.,  -336.,  1488.]), array([-7703.,   -79.,   673.]), array([ 301.,  -22., -248.]))
(6, 51180, 50557, 50508, array([-7984.,  -384.,  1472.]), array([-7701.,  -109.,   711.]), array([ 301.,  -12., -257.]))
(6, 52604, 52573, 50508, array([-7968.,  -320.,  1456.]), array([-7742.,  -162.,   688.]), array([ 301.,  -12., -257.]))
(6, 53554, 53581, 53052, array([-7984.,  -336.,  1376.]), array([-7743.,  -171.,   643.]), array([ 301.,   -1., -257.]))
(6, 54503, 54589, 53052, array([-7920.,  -288.,  1408.]), array([-7784.,  -159.,   655.]), array([ 301.,   -1., -257.]))
(6, 55927, 55597, 55597, array([-7936.,  -288.,  1472.]), array([-7805.,  -188.,   665.]), array([ 302.,    3., -263.]))
(6, 56877, 56605, 55597, array([-8032.,  -352.,  1376.]), array([-7815.,  -162.,   699.]), array([ 302.,    3., -263.]))
(6, 58301, 57613, 58142, array([-7936.,  -416.,  1280.]), array([-7796.,  -143.,   708.]), array([ 303.,   13., -263.]))
(6, 59250, 58621, 58142, array([-8016.,  -256.,  1328.]), array([-7819.,  -139.,   694.]), array([ 303.,   13., -263.]))
(6, 60199, 59629, 58142, array([-8000.,  -256.,  1424.]), array([-7827.,  -146.,   680.]), array([ 303.,   13., -263.]))
(6, 61622, 61645, 60687, array([-7904.,  -416.,  1312.]), array([-7881.,  -115.,   672.]), array([ 301.,   21., -268.]))
(6, 63520, 63661, 63232, array([-7904.,  -272.,  1376.]), array([-7903.,  -155.,   683.]), array([ 301.,   26., -268.]))
(6, 64943, 64669, 63232, array([-8000.,  -272.,  1456.]), array([-7953.,  -152.,   663.]), array([ 301.,   26., -268.]))
