(6, 19411, 18546, 17608, array([ 3392.,   304., -5584.]), array([-609., -192., -507.]), array([ -77.,  -55.,  496.]))
(6, 20361, 20562, 20154, array([ 3456.,   256., -5568.]), array([-312., -183., -368.]), array([ -77.,  -64.,  492.]))
(6, 21310, 21570, 20154, array([ 3424.,   224., -5488.]), array([-260., -214., -249.]), array([ -77.,  -64.,  492.]))
(6, 22734, 22578, 22701, array([ 3392.,   240., -5184.]), array([-308., -274., -145.]), array([ -77.,  -54.,  493.]))
(6, 23683, 23586, 22701, array([ 3392.,   368., -5008.]), array([-337., -324.,  -38.]), array([ -77.,  -54.,  493.]))
(6, 25106, 24594, 22701, array([ 3280.,   496., -4976.]), array([-438., -435.,   60.]), array([ -77.,  -54.,  493.]))
(6, 26055, 25603, 25247, array([ 3248.,   432., -4816.]), array([-637., -475.,   93.]), array([ -74.,  -62.,  492.]))
(6, 27004, 26611, 25247, array([ 3360.,   464., -4832.]), array([-863., -454.,  129.]), array([ -74.,  -62.,  492.]))
(6, 28428, 27619, 27794, array([ 3344.,   544., -4880.]), array([-1113.,  -465.,   173.]), array([ -76.,  -59.,  493.]))
(6, 29378, 28627, 27794, array([ 3232.,   720., -4992.]), array([-1334.,  -415.,   221.]), array([ -76.,  -59.,  493.]))
(6, 30327, 30643, 30341, array([ 3184.,   896., -5040.]), array([-1504.,  -415.,   319.]), array([ -69.,  -63.,  487.]))
