(1, 26698, 25898, 25333, array([ 6816.,  1712., -3456.]), array([ -168., -1677.,  -673.]), array([-311., -107.,  459.]))
(1, 27647, 27914, 27880, array([ 6832.,  1776., -3504.]), array([ -198., -1613.,  -721.]), array([-305., -110.,  459.]))
(1, 28597, 28922, 27880, array([ 6880.,  1760., -3584.]), array([ -186., -1591.,  -753.]), array([-305., -110.,  459.]))
(1, 30020, 29930, 27880, array([ 6928.,  1728., -3616.]), array([ -183., -1596.,  -748.]), array([-305., -110.,  459.]))
(1, 30969, 30939, 30427, array([ 6928.,  1696., -3600.]), array([ -143., -1589.,  -766.]), array([-299., -113.,  465.]))
(1, 32393, 31947, 30427, array([ 6848.,  1680., -3632.]), array([ -117., -1569.,  -762.]), array([-299., -113.,  465.]))
(1, 33342, 32955, 32975, array([ 6816.,  1616., -3664.]), array([  -16., -1543.,  -752.]), array([-302., -115.,  463.]))
(1, 34291, 33963, 32975, array([ 6736.,  1648., -3584.]), array([  -27., -1488.,  -762.]), array([-302., -115.,  463.]))
(1, 35714, 34971, 35521, array([ 6688.,  1568., -3648.]), array([  -28., -1464.,  -732.]), array([-293., -115.,  465.]))
(1, 36663, 35979, 35521, array([ 6656.,  1552., -3584.]), array([  -40., -1416.,  -681.]), array([-293., -115.,  465.]))
(1, 37612, 37996, 38068, array([ 6624.,  1568., -3584.]), array([  -71., -1360.,  -643.]), array([-295., -116.,  466.]))
(1, 39036, 39004, 38068, array([ 6608.,  1600., -3632.]), array([  -80., -1316.,  -606.]), array([-295., -116.,  466.]))
(1, 39986, 40012, 38068, array([ 6624.,  1632., -3600.]), array([  -38., -1272.,  -570.]), array([-295., -116.,  466.]))
(1, 41409, 41020, 40617, array([ 6608.,  1568., -3616.]), array([   14., -1226.,  -567.]), array([-289., -119.,  469.]))
(1, 42358, 42028, 40617, array([ 6560.,  1552., -3600.]), array([   55., -1174.,  -587.]), array([-289., -119.,  469.]))
(1, 43308, 43036, 43163, array([ 6560.,  1552., -3632.]), array([  114., -1150.,  -563.]), array([-288., -119.,  467.]))
(1, 44731, 44044, 43163, array([ 6496.,  1520., -3648.]), array([  129., -1128.,  -564.]), array([-288., -119.,  467.]))
(1, 45681, 45053, 45711, array([ 6448.,  1504., -3632.]), array([  136., -1120.,  -517.]), array([-280., -121.,  470.]))
(1, 46630, 47069, 45711, array([ 6448.,  1568., -3664.]), array([  258., -1034.,  -437.]), array([-280., -121.,  470.]))
(1, 48054, 48077, 45711, array([ 6512.,  1536., -3552.]), array([  283., -1006.,  -408.]), array([-280., -121.,  470.]))
(1, 49003, 49085, 48257, array([ 6480.,  1568., -3616.]), array([ 314., -943., -359.]), array([-280., -120.,  472.]))
(1, 50427, 50093, 48257, array([ 6448.,  1568., -3616.]), array([ 373., -887., -338.]), array([-280., -120.,  472.]))
(1, 51377, 51101, 50804, array([ 6480.,  1600., -3600.]), array([ 419., -826., -281.]), array([-279., -121.,  472.]))
(1, 52326, 52110, 50804, array([ 6512.,  1632., -3616.]), array([ 474., -768., -233.]), array([-279., -121.,  472.]))
(1, 53750, 53118, 53351, array([ 6480.,  1616., -3600.]), array([ 600., -719., -180.]), array([-280., -119.,  473.]))
(1, 54700, 54126, 53351, array([ 6448.,  1632., -3616.]), array([ 636., -669., -140.]), array([-280., -119.,  473.]))
(1, 55649, 55134, 55899, array([ 6432.,  1648., -3616.]), array([ 737., -591.,  -91.]), array([-279., -118.,  476.]))
(1, 57073, 57150, 55899, array([ 6464.,  1568., -3696.]), array([ 897., -468.,  -11.]), array([-279., -118.,  476.]))
