(1, 45521, 45319, 43860, array([ 7840.,   -80., -3152.]), array([ -603.,  1102.,   446.]), array([-511.,   81.,   38.]))
(1, 46944, 46328, 46406, array([ 7760.,   -48., -3120.]), array([-753.,  995.,  451.]), array([-511.,   83.,   36.]))
(1, 47893, 47336, 46406, array([ 7744.,   -16., -3040.]), array([-836.,  838.,  444.]), array([-511.,   83.,   36.]))
(1, 48842, 48344, 48951, array([ 7760.,   -48., -3008.]), array([-944.,  687.,  439.]), array([-508.,   85.,   35.]))
(1, 50266, 50360, 48951, array([ 7680.,    32., -2944.]), array([-1020.,   456.,   452.]), array([-508.,   85.,   35.]))
(1, 51215, 51369, 51496, array([ 7728.,    80., -2944.]), array([-1011.,   331.,   429.]), array([-507.,   84.,   32.]))
(1, 52638, 52377, 51496, array([ 7728.,   128., -2896.]), array([-980.,  199.,  383.]), array([-507.,   84.,   32.]))
(1, 53587, 53385, 51496, array([ 7744.,   112., -2896.]), array([-958.,  105.,  342.]), array([-507.,   84.,   32.]))
(1, 54536, 54393, 54041, array([ 7696.,   160., -2816.]), array([-874.,   41.,  323.]), array([-507.,   86.,   32.]))
(1, 55960, 55401, 54041, array([ 7728.,   160., -2784.]), array([-815.,  -60.,  308.]), array([-507.,   86.,   32.]))
(1, 56909, 56410, 56586, array([ 7792.,   208., -2816.]), array([-691., -150.,  264.]), array([-508.,   85.,   36.]))
(1, 57858, 57418, 56586, array([ 7856.,   240., -2736.]), array([-555., -268.,  196.]), array([-508.,   85.,   36.]))
(1, 59282, 58426, 59131, array([ 7872.,   192., -2640.]), array([-413., -332.,  162.]), array([-507.,   89.,   34.]))
(1, 60231, 60442, 59131, array([ 7856.,   192., -2544.]), array([-155., -493.,   83.]), array([-507.,   89.,   34.]))
(1, 61180, 61451, 59131, array([ 7920.,    96., -2480.]), array([ -11., -618.,   57.]), array([-507.,   89.,   34.]))
(1, 62603, 62459, 61675, array([ 7808.,     0., -2400.]), array([  82., -734.,  -12.]), array([-508.,   83.,   38.]))
(1, 63552, 63467, 61675, array([ 7728.,   -16., -2432.]), array([ 104., -804.,  -53.]), array([-508.,   83.,   38.]))
(1, 64976, 64475, 64220, array([ 7632.,  -112., -2368.]), array([ 193., -825.,  -67.]), array([-508.,   86.,   38.]))
(1, 389, 65484, 64220, array([ 7632.,   -48., -2400.]), array([ 201., -910., -103.]), array([-508.,   86.,   38.]))
(1, 1338, 956, 1229, array([ 7616.,   -32., -2464.]), array([ 234., -961., -125.]), array([-506.,   88.,   42.]))
(1, 2762, 1964, 1229, array([ 7664.,    16., -2448.]), array([  337., -1043.,  -158.]), array([-506.,   88.,   42.]))
(1, 4659, 4989, 3774, array([ 7808.,   -32., -2416.]), array([  539., -1282.,  -211.]), array([-509.,   87.,   44.]))
(1, 7032, 7005, 6318, array([ 7792.,   -80., -2304.]), array([  794., -1414.,  -236.]), array([-508.,   85.,   44.]))
(1, 8456, 8013, 6318, array([ 7808.,    16., -2320.]), array([  854., -1475.,  -245.]), array([-508.,   85.,   44.]))
(1, 9405, 9021, 8863, array([ 7872.,    16., -2352.]), array([  924., -1537.,  -265.]), array([-509.,   81.,   48.]))
(1, 10354, 10030, 8863, array([ 7904.,    48., -2352.]), array([ 1000., -1615.,  -284.]), array([-509.,   81.,   48.]))
(1, 11777, 11038, 11407, array([ 8000.,    32., -2272.]), array([ 1101., -1686.,  -299.]), array([-510.,   81.,   49.]))
(1, 12726, 12046, 11407, array([ 7920.,    48., -2208.]), array([ 1200., -1752.,  -303.]), array([-510.,   81.,   49.]))
(1, 13675, 14063, 13952, array([ 7824.,    64., -2160.]), array([ 1322., -1817.,  -343.]), array([-507.,   80.,   52.]))
(1, 15098, 15071, 13952, array([ 7808.,    96., -2224.]), array([ 1324., -1861.,  -368.]), array([-507.,   80.,   52.]))
(1, 16048, 16079, 13952, array([ 7840.,   128., -2256.]), array([ 1386., -1909.,  -374.]), array([-507.,   80.,   52.]))
(1, 17471, 17087, 16498, array([ 7856.,    96., -2320.]), array([ 1461., -1946.,  -394.]), array([-509.,   82.,   57.]))
(1, 18420, 18095, 16498, array([ 7872.,   112., -2304.]), array([ 1513., -1968.,  -423.]), array([-509.,   82.,   57.]))
(1, 19369, 19104, 19042, array([ 7888.,   128., -2336.]), array([ 1610., -2012.,  -430.]), array([-510.,   78.,   65.]))
(1, 20793, 20112, 19042, array([ 7824.,    64., -2352.]), array([ 1620., -2022.,  -455.]), array([-510.,   78.,   65.]))
(1, 21742, 21120, 21587, array([ 7792.,    96., -2464.]), array([ 1612., -2054.,  -477.]), array([-508.,   77.,   66.]))
(1, 22691, 22128, 21587, array([ 7904.,   112., -2416.]), array([ 1630., -2125.,  -496.]), array([-508.,   77.,   66.]))
(1, 24114, 24145, 24132, array([ 7968.,   144., -2432.]), array([ 1623., -2222.,  -537.]), array([-510.,   75.,   75.]))
